YTID,Keywords
--PJHxphWEs,Speech;Gush
--ZhevVpy1s,Toothbrush
--aE2O5G5WE,Goat;Music;Speech
--aO5cdqSAg,Male singing;Child singing
--aaILOrkII,"Gunshot, gunfire;Cap gun"
--cB2ZVjpnA,"Smoke detector, smoke alarm"
--ekDLDTUXA,Singing;Bang
-0DLPzsiXXE,Music;Ping
-0DdlOuIFUI,"Sink (filling or washing);Water tap, faucet;Water"
-0FHUc78Gqo,Folk music;Music
-0O3e95y4gE,"Knock;Inside, small room"
-0SdAVK79lg,Blues;Country;Guitar;Acoustic guitar;Music;Musical instrument;Strum;Plucked string instrument;Bluegrass
-0Vl4HyWRk8,"Wind instrument, woodwind instrument;Shofar"
-0mG4W5Hlq8,"Music;Music for children;Grunt;Speech;Child speech, kid speaking"
-0mjrMposBM,Train whistle
-11LhdJgBb8,Music;Rattle
-1LrH01Ei1w,Traditional music;Music
-1TLtjPtnms,Heavy metal;Music;Cacophony
-1iKLvsRBbE,Singing;Bang
-24dqQM_rDk,Music;Male singing
-275_wTLm-4,Squeak
-28U1_qW0sU,Ping
-2PDE7hUArE,Engine;Idling;Medium engine (mid frequency)
-2X03mO3T_U,Liquid;Boiling
-2hQKCE-oTI,"Walk, footsteps"
-30H9V1IKps,Vehicle;Speech;Air brake
-38Qgsbh7NQ,Organ;Electronic organ
-3HYdaJyF4U,Music;Ska
-3IGxVTJvgI,Radio;Speech
-3IYpJfLVJk,"Horse;Neigh, whinny;Animal"
-3hKkjKmIGE,"Boat, Water vehicle;Ship"
-3pPrlCm6gg,Clarinet
-4NLarMj4xU,Music;Tender music
-4RWqM0UCCY,Ambulance (siren);Car alarm;Emergency vehicle;Siren
-4hZyOdm7EI,Singing;Carnatic music
-4xJv59_zcA,Splinter;Wood
-5-vmt2iKT0,"Female speech, woman speaking;Speech"
-5DdYkYOjy0,Run
-5GhUbDLYkQ,"Sink (filling or washing);Water tap, faucet;Water"
-5Jlimvsuwo,Timpani;Music
-5Kk-m7BmiE,Flap;Clatter
-5S70zOSw30,Buzzer;Crackle;Speech
-5f6hjZf9Yw,Folk music;Music
-5xOcMJpTUk,Bass guitar;Guitar;Acoustic guitar;Music;Musical instrument;Speech;Plucked string instrument
-60XojQWWoc,Reversing beeps;Truck;Vehicle
-64xnyOswXA,"Roaring cats (lions, tigers)"
-693sNKI3iM,Singing;Yodeling;Music
-6QGvxvaTkI,Tabla;Drum;Percussion
-6RN8skIHU4,"Speech;Camera;Inside, small room"
-6fxJZ7CW00,"Smash, crash"
-6gC_nlUBfA,Sliding door;Speech
-6krAYK2LLo,Music;Middle Eastern music;Soundtrack music
-6pcgdLfb_A,Music;Exciting music
-6sgMgtW91g,Music;Shuffling cards;Speech
-6x2PtSRfJU,"Cat;Domestic animals, pets;Meow;Speech"
-70MzkgSsHQ,Music;Mandolin
-70wVF5u-gg,Chopping (food)
-75IwDlkzDQ,Engine knocking;Engine
-76P3VHPuus,Heart murmur
-7J4109yM7w,Engine;Vehicle;Engine starting
-7QVE8o9uk4,Lawn mower;Music;Vehicle
-7WpTk5AHfk,Music;Bang;Speech
-7aibH1LKwI,Boing
-7wUQP6G5EQ,Theme music;Folk music;Music
-7ye24UFRng,Whale vocalization;Music
-7z662AsuTE,Gong
-82vJ9bcar4,Cupboard open or close
-8CrCItCO24,"Chink, clink"
-8Ezw9946g8,Drawer open or close
-8H4GKg-mYQ,Music;Techno
-8S_tLKfeJg,"Electric toothbrush;Speech;Inside, small room"
-8_HpHg6nCw,Pump (liquid);Water
-8fQePz4FcE,"Music;Ukulele;Inside, large room or hall"
-8n2NqDFRko,Reversing beeps;Truck;Vehicle;Speech
-8wQV7VJnmM,Music;Wedding music;Happy music
-92cYmTgIjM,Humming
-99daJhXYJY,"Boat, Water vehicle;Motorboat, speedboat;Wind;Wind noise (microphone)"
-9ME9qMgkeY,"Dental drill, dentist's drill;Helicopter"
-9Nl3LZBCOo,Zipper (clothing);Speech
-9c1c8G_WO8,Television;Speech
-9ek6eO0RtI,Doorbell
-9wxcZf43a4,Pink noise
-A0MTi2NMGI,Car passing by
-AIrHVeCgtM,Reversing beeps;Truck;Vehicle;Speech
-ASYwidRD7M,Snoring
-AgbNy9f2sg,"Boat, Water vehicle;Ship"
-Ar7D-GARhI,Sheep;Bleat;Speech
-AswFDuOptQ,Liquid;Music;Speech
-AvC89aikTw,Coin (dropping)
-B3_mFE3pog,"Jingle, tinkle"
-BIMKnb3tlo,Tabla;Drum;Percussion
-BcwR0CSZ4w,"Wheeze;Sniff;Child speech, kid speaking"
-BqpAyCLh7U,Computer keyboard;Music;Speech
-BwM5Va6XFg,"Cutlery, silverware;Dishes, pots, and pans"
-BxQ9nkrId4,Shuffle
-By_0iIghuE,"Cat;Domestic animals, pets;Caterwaul;Animal"
-C5dEU4zpJg,Finger snapping;Music
-CHMeZVAe2s,Heart murmur
-CIxoobEubQ,Filing (rasp);Rub;Wood
-CUp_Tmg2Y0,Cymbal;Drum;Drum kit;Hi-hat;Rimshot;Bass drum;Percussion
-CgdUiJaNdU,Belly laugh;Speech
-CniGkDLq-Y,Music;Female singing
-DBcp6YGi6k,Oink
-DLL8LaKq-c,Bang;Speech
-DNkAalo7og,Engine;Idling;Medium engine (mid frequency)
